No,Title,Date,Image URL
"1","MA Tolak Kasasi Eks Mentan SYL, KPK Harap Beri Efek Jera","2 Maret 2025","https://asset.kompas.com/crops/aTJK3XihO-z-O1DTTW5WZsvTEIc=/0x0:0x0/235x132/data/photo/2024/07/11/668f58ce237be.jpeg"
"2","KSPI Sebut PHK Ribuan Karyawan PT Sritex Ilegal","2 Maret 2025","https://asset.kompas.com/crops/K0k2F-EoTKpPbQYti3qWLAi7k5o=/63x15:731x460/235x132/data/photo/2025/03/02/67c39f5327115.jpeg"
"3","Dugaan Pertamax Oplosan, Sudirman Said: Kepercayaan Publik Menurun","2 Maret 2025","https://asset.kompas.com/crops/BFCSyUZR6TsS3quYzzwLRF0yAuY=/0x0:0x0/235x132/data/photo/2025/03/01/67c2eafe83c8f.jpg"
"4","Kendaraan Maung Siap Melaju: Dari Barak ke Garasi Warga?","2 Maret 2025","https://asset.kompas.com/crops/S-7K5KoYXzNQyYHe_yWDZNgnJ30=/0x0:0x0/235x132/data/photo/2025/03/01/67c2a47fc6759.jpg"
"5","KPK Apresiasi MA yang Perberat Hukuman Eks Dirut Pertamina Karen Agustiawan","2 Maret 2025","https://asset.kompas.com/crops/Dv_YnNWOswgXhmldK9eRJkjhDYo=/0x13:998x678/235x132/data/photo/2024/06/24/667966e110336.jpg"
"6","Klasemen Liga Korupsi Indonesia dan Masalah Serius di BUMN","2 Maret 2025","https://asset.kompas.com/crops/dQ4OjfXaZjAjPDKzFm7v8kNWPHE=/0x0:0x0/235x132/data/photo/2025/02/27/67bf4bc861ac1.jpg"
"7","Deretan Korupsi di Pertamina: Dari Minyak Mentah hingga Dana Pensiun","2 Maret 2025","https://asset.kompas.com/crops/6wylCGwkUoXm1nHdVDxSivkJlGk=/0x0:780x520/235x132/data/photo/2022/08/09/62f1f57760121.jpg"
"8","Istri Mensos Gus Ipul Dukung Pemberdayaan Komunitas Mangrove di 8 Titik di Indonesia","1 Maret 2025","https://asset.kompas.com/crops/RvGi_2iPHjc9w8x0-76ZSTQ0E74=/0x0:780x520/235x132/data/photo/2025/03/01/67c30705aac02.jpg"
"9","Eloc Bestari: Inovasi Sosial yang Bawa PGE Raih Proper Emas 2025","1 Maret 2025","https://asset.kompas.com/crops/MUdDvWBL2tKhtRWmg04ofrcb0gs=/0x129:1600x1196/235x132/data/photo/2025/03/01/67c302a471f7a.jpeg"
"10","Masjid Garapan Waskita Karya Siap Digunakan untuk Salat Tarawih","1 Maret 2025","https://asset.kompas.com/crops/MdDfUrm65AEaG5KvguX-0PHy3Ng=/356x0:3866x2340/235x132/data/photo/2025/03/01/67c2fcf1b428c.jpg"
"11","PT Pindad Tengah Siapkan Mobil Maung untuk Sipil","1 Maret 2025","https://asset.kompas.com/crops/SPox9L0OTdCvzarbO9bAaViYcaE=/0x0:0x0/235x132/data/photo/2025/03/01/67c2f7ecaf233.jpg"
"12","Saat Warga Kota Bandung Jajal Naik Maung MV3 Keliling Kota...","1 Maret 2025","https://asset.kompas.com/crops/aKQ7B8qJ106LR26v6ahCCOt_jdg=/0x0:0x0/235x132/data/photo/2025/03/01/67c2f35d5a949.jpg"
"13","84 WNI Pekerja Imigran Korban "Online Scam" di Myanmar Bakal Jalani Rehabilitasi","1 Maret 2025","https://asset.kompas.com/crops/AQvzH7pypv5dHd23dhsOKoHwMG8=/56x0:731x450/235x132/data/photo/2023/05/02/645045c40453b.jpg"
"14","[GASPOL HARI INI] Mafia BBM Cuma Ganti Pemain dari Era Petral?","1 Maret 2025","https://asset.kompas.com/crops/BFCSyUZR6TsS3quYzzwLRF0yAuY=/0x0:0x0/235x132/data/photo/2025/03/01/67c2eafe83c8f.jpg"
"15","Pemerintah Pulangkan 84 WNI Pekerja Migran Korban "Online Scam" dari Myanmar","1 Maret 2025","https://asset.kompas.com/crops/e-zEr3sMhtL-x-xZ5UK-LVKf0D4=/0x0:0x0/235x132/data/photo/2025/02/19/67b562200c597.jpg"
"16","PAN Harap Gerakan Rakyat Bisa Jadi Ormas Produktif dan Bantu Masyarakat","1 Maret 2025","https://asset.kompas.com/crops/yVycrsn_x_avCKmJK9FjZZvjFFo=/0x0:0x0/235x132/data/photo/2024/12/05/67512c8e032b6.jpg"
"17","Banjir di Cipete Utara Capai 70 Cm, Warga: Surut Hanya Beberapa Jam","1 Maret 2025","https://asset.kompas.com/crops/R6ZYKvdYwLjfCPp8ppuqOp4mRLQ=/0x0:0x0/235x132/data/photo/2025/03/01/67c2aaa249fe1.jpeg"
"18","Dompet Dhuafa Kirim Tim Kemanusiaan dan 300 Dai ke Palestina dan Wilayah 3T","1 Maret 2025","https://asset.kompas.com/crops/DGBAFiof7TunXfLLI9nlAWpotoo=/0x0:780x520/235x132/data/photo/2025/03/01/67c2b7e979427.jpg"
"19","Mensos Gus Ipul Bantah Anggaran KND Sisa Rp 500 Juta, Efisiensi Tak Ganggu Bansos","1 Maret 2025","https://asset.kompas.com/crops/5t8oZENEHDh3rckzdg1SmntfGJk=/0x0:2559x1706/235x132/data/photo/2025/03/01/67c2b647114dd.jpeg"
"20","Mensos Gus Ipul Ajak Pegawai Kemensos Menambah Aksi Tebar Kebaikan","1 Maret 2025","https://asset.kompas.com/crops/6brY7fDeCm-1p6A4n0ewhKiHTvg=/0x0:2559x1706/235x132/data/photo/2025/03/01/67c2b5d00f5f4.jpeg"
"21","Maung MV3 Garuda Calon Mobil Dinas Menteri Bakal Segera "Launching"","1 Maret 2025","https://asset.kompas.com/crops/S-7K5KoYXzNQyYHe_yWDZNgnJ30=/0x0:0x0/235x132/data/photo/2025/03/01/67c2a47fc6759.jpg"
"22","Sidang Perdana Tom Lembong di Kasus Impor Gula Digelar 6 Maret 2025","1 Maret 2025","https://asset.kompas.com/crops/Cc7wPkmFcUOVAgqXUmRH8N0RBcI=/0x0:0x0/235x132/data/photo/2025/02/14/67af09b49a52d.jpg"
"23","Polemik Disertasi Bahlil, Komisi X DPR Minta UI Segera Umumkan Keputusannya","1 Maret 2025","https://asset.kompas.com/crops/GigtnM8rc2Ha79oUt6U673nM8SI=/0x0:0x0/235x132/data/photo/2024/11/18/673b201f576d2.jpg"
"24","Kemenhan Pastikan Pemenuhan Pesanan 4.100 Unit Maung MV3 Tidak Molor Imbas Efisiensi","1 Maret 2025","https://asset.kompas.com/crops/S-7K5KoYXzNQyYHe_yWDZNgnJ30=/0x0:0x0/235x132/data/photo/2025/03/01/67c2a47fc6759.jpg"
"25","Ramadhan 2025, Masjid Istiqlal Siapkan 40 Kamar Hotel Gratis untuk Musafir","1 Maret 2025","https://asset.kompas.com/crops/A3auRDCoH1uUDBx4mBDRUmX0yzY=/0x0:0x0/235x132/data/photo/2025/02/27/67c041f9edc75.jpeg"
"26","Kemenhan Serahkan 700 Unit Maung untuk Dukung Operasional TNI dan Polri","1 Maret 2025","https://asset.kompas.com/crops/j9vxyfrHex5y0i3eUrm-ISFUDiI=/0x0:0x0/235x132/data/photo/2025/03/01/67c299503cd53.jpg"
"27","“Problem” Politik Megawati dengan SBY dan Jokowi Dinilai Jadi Faktor Tak Hadir Undangan Prabowo di Acara Penting","1 Maret 2025","https://asset.kompas.com/crops/UzM6BbKliuK2wX0Hd5BDvCN5VnA=/144x0:777x422/235x132/data/photo/2025/01/10/6780d1dc9c175.png"
"28","Kemesraan Prabowo, Jokowi, dan SBY Dinilai untuk Tunjukan Tak Ada Perbedaan Politik demi Membangun Bangsa","1 Maret 2025","https://asset.kompas.com/crops/zwqXXLbX24MKrZ0wCIHbw51u1as=/0x0:0x0/235x132/data/photo/2025/02/28/67c1527bd0cfe.jpg"
"29","Kemenag: 62 Persen Kuota Jemaah Haji Reguler 2025 Telah Terisi","1 Maret 2025","https://asset.kompas.com/crops/dVlbOcuEQ9zyDdXVuUbnaRASco8=/192x129:1728x1153/235x132/data/photo/2024/05/30/66583513a1cf1.jpg"
"30","Satgas Damai Cartenz Selidiki Terbakarnya Rumah Kosong di Puncak Jaya Papua","1 Maret 2025","https://asset.kompas.com/crops/NMmYQH3dRUkiXaThGta9n6waroU=/0x0:0x0/235x132/data/photo/2024/10/07/67031e5d32436.jpg"
"31","GSRI Sebut Program MBG Belum Matang, Soroti Alokasi Anggaran hingga Potensi Gagal","1 Maret 2025","https://asset.kompas.com/crops/-Ga0o5cOasrKV28mI3-NxZBUi1Y=/0x0:0x0/235x132/data/photo/2025/02/24/67bc5de53939f.jpg"
"32","Resep Menjadi Negara Adikuasa Regional dan Macan Asia yang Disegani","1 Maret 2025","https://asset.kompas.com/crops/I-0UXD4vWPxVe6wp0j0KPeqnRPY=/404x290:1969x1333/235x132/data/photo/2024/04/02/660b0bac869b2.jpeg"
"33","BGN Pastikan Pengobatan Siswa Keracunan akibat MBG Bisa Ditanggung SPPG","1 Maret 2025","https://asset.kompas.com/crops/tIeOnNxvXxcX0UOUNqjnNlzq2jA=/782x0:3910x2085/235x132/data/photo/2025/02/24/67bc548e8e00b.jpg"
"34","1 Ramadhan 2025, Puasa Serentak Bersama hingga Ucapan Presiden","1 Maret 2025","https://asset.kompas.com/crops/kYUTqZj6vDNTBSNsvnm-6J8VCfU=/0x0:0x0/235x132/data/photo/2025/02/28/67c1af15b0eb2.jpeg"
"35","Ketika Prabowo Mesra dengan SBY dan Jokowi...","1 Maret 2025","https://asset.kompas.com/crops/YOpcMr0pQdeH8Df7NLfDfjtgfAc=/187x0:1266x719/235x132/data/photo/2025/02/24/67bc0f4f8997a.png"
